Runtime,Genre,Manipulated_Title
58min,Drama,13-reasons-why
1h 30min,"Horror, Music & Musical, Crime, Drama",14-cameras
1h 42min,"Comedy, Drama, Fantasy, Romance, Sport",17-again
2h 38min,Action & Adventure,2012
2h 3min,"Drama, Crime, History",21
1h 49min,"Crime, Action & Adventure, Comedy",21-jump-street
1h 29min,"Horror, Drama",47-meters-down
2h 7min,"Action & Adventure, Comedy",6-underground
1h 46min,"Comedy, Drama, Romance",a-california-christmas
1h 32min,"Comedy, Drama",a-home-with-a-view
1h 31min,"Horror, Drama",a-quiet-place
2h 19min,"Romance, Drama, Music & Musical",a-star-is-born
1h 54min,"Action & Adventure, Crime, Drama",a-walk-among-the-tombstones
1h 12min,Documentary,accident
1h 39min,Drama,after
1h 39min,"Romance, Drama",after-we-fell
1h 21min,"Comedy, Drama, Fantasy",alexander-and-the-terrible-horrible-no-good-very-bad-day
47min,"Drama, Fantasy, Action & Adventure",alice-in-borderland
1h 1min,"Action & Adventure, Drama, Fantasy, Horror",all-of-us-are-dead
1h 45min,"Drama, Comedy, Romance",aloha
1h 52min,"Comedy, Romance",always-be-my-maybe
1h 42min,"Horror, Comedy, Crime, Drama",american-psycho
1h 1min,Comedy,amy-schumer:-growing
1h 27min,"Crime, Drama",an-inspector-calls
22min,Drama,anna
42min,Drama,another-life
54min,"Drama, Horror",archive-81
1h 30min,"Horror, Action & Adventure",army-of-the-dead
35min,"Action & Adventure, Documentary",arrival
50min,"Drama, Romance",away
1h 53min,"Crime, Action & Adventure, Drama, Music & Musical",baby-driver
1h 2min,"Action & Adventure, Crime, Comedy",bad-guys
1h 56min,"Comedy, Crime, Action & Adventure",baywatch
1h 32min,"Drama, Horror",before-i-go-to-sleep
50min,Drama,behind-her-eyes
1h 45min,"Horror, Action & Adventure",beyond-skyline
2h 4min,"Drama, Horror",bird-box
59min,Drama,black-mirror
2h 13min,"Drama, Crime, Action & Adventure",blackhat
1h 49min,"Action & Adventure, Drama",bleeding-steel
1h 57min,"Comedy, Romance",blended
39min,Reality TV,bling-empire
2h 1min,"Action & Adventure, Horror",blood-red-sky
58min,"Crime, Drama",bodyguard
24min,"Drama, Romance, Animation, Comedy",boys-over-flowers
1h 45min,"Comedy, Romance",break-up-100
48min,"Drama, Crime",breaking-bad
1h 1min,"Drama, Romance",bridgerton
22min,"Comedy, Crime",brooklyn-nine-nine
1h 41min,"Fantasy, Drama, Comedy",bruce-almighty
2h 28min,Drama,burning
